frame,label,track_id,x_pred,y_pred,miss_count
0,RED,0,368.0,288.0,0
0,RED,1,240.0,368.0,0
0,GREEN,0,304.0,320.0,0
0,GREEN,1,304.0,208.0,0
0,BLUE,0,288.0,256.0,0
1,RED,0,368.0,288.0,0
1,RED,1,240.0,368.0,0
1,GREEN,0,304.0,320.0,0
1,GREEN,1,304.0,208.0,0
1,BLUE,0,288.0,256.0,0
2,RED,0,368.0,288.0,0
2,RED,1,240.0,368.0,0
2,GREEN,0,304.0,320.0,0
2,GREEN,1,304.0,208.0,0
2,BLUE,0,288.0,256.0,0
3,RED,0,368.0,288.0,0
3,RED,1,240.0,368.0,0
3,GREEN,0,304.0,320.0,0
3,GREEN,1,304.0,208.0,0
3,BLUE,0,288.0,256.0,0
4,RED,0,368.0,288.0,0
4,RED,1,240.0,368.0,0
4,GREEN,0,304.0,320.0,0
4,GREEN,1,304.0,208.0,0
4,BLUE,0,288.0,256.0,0
5,RED,0,368.0,288.0,0
5,RED,1,240.0,368.0,0
5,GREEN,0,304.0,320.0,0
5,GREEN,1,304.0,208.0,0
5,BLUE,0,288.0,256.0,0
6,RED,0,368.0,288.0,0
6,RED,1,240.0,368.0,0
6,GREEN,0,304.0,320.0,0
6,GREEN,1,304.0,208.0,0
6,BLUE,0,288.0,256.0,0
7,RED,0,368.0,288.0,0
7,RED,1,240.0,368.0,0
7,GREEN,0,304.0,320.0,0
7,GREEN,1,304.0,208.0,0
7,BLUE,0,299.8518981933594,256.0,0
8,RED,0,368.0,288.0,0
8,RED,1,240.0,368.0,0
8,GREEN,0,304.0,320.0,0
8,GREEN,1,304.0,208.0,0
8,BLUE,0,304.5611572265625,256.0,0
9,RED,0,368.0,288.0,0
9,RED,1,240.0,368.0,0
9,GREEN,0,304.0,320.0,0
9,GREEN,1,304.0,208.0,0
9,BLUE,0,305.56085205078125,256.0,0
10,RED,0,368.0,288.0,0
10,RED,1,240.0,368.0,0
10,GREEN,0,304.0,320.0,0
10,GREEN,1,304.0,208.0,0
10,BLUE,0,305.2044372558594,256.0,0
11,RED,0,368.0,288.0,0
11,RED,1,240.0,368.0,0
11,GREEN,0,304.0,320.0,0
11,GREEN,1,304.0,208.0,0
11,BLUE,0,304.6369323730469,256.0,0
12,RED,0,368.0,288.0,0
12,RED,1,240.0,368.0,0
12,GREEN,0,304.0,320.0,0
12,GREEN,1,304.0,208.0,0
12,BLUE,0,304.238525390625,256.0,0
13,RED,0,368.0,288.0,0
13,RED,1,240.0,368.0,0
13,GREEN,0,304.0,320.0,0
13,GREEN,1,304.0,208.0,0
13,BLUE,0,304.0411376953125,256.0,0
14,RED,0,368.0,288.0,0
14,RED,1,240.0,368.0,0
14,GREEN,0,304.0,320.0,0
14,GREEN,1,304.0,208.0,0
