frame,label,score,x1,y1,x2,y2,cx,cy,patch
0,RED,126.899658203125,256,320,320,384,288,352,64
0,RED,90.15463256835938,304,192,368,256,336,224,64
0,GREEN,37.26137161254883,320,256,384,320,352,288,64
0,GREEN,33.802242279052734,416,384,480,448,448,416,64
0,BLUE,51.18388366699219,416,224,480,288,448,256,64
1,RED,127.0746078491211,256,320,320,384,288,352,64
1,RED,85.10107421875,288,192,352,256,320,224,64
1,GREEN,36.88432312011719,320,256,384,320,352,288,64
1,GREEN,34.30097198486328,416,384,480,448,448,416,64
1,BLUE,34.090232849121094,416,240,480,304,448,272,64
2,RED,126.8553695678711,256,320,320,384,288,352,64
2,RED,85.036865234375,288,192,352,256,320,224,64
2,GREEN,36.304683685302734,320,256,384,320,352,288,64
2,GREEN,34.041744232177734,416,384,480,448,448,416,64
2,BLUE,30.209911346435547,416,240,480,304,448,272,64
3,RED,127.5851058959961,256,320,320,384,288,352,64
3,RED,85.29525756835938,288,192,352,256,320,224,64
3,GREEN,37.749996185302734,320,256,384,320,352,288,64
3,GREEN,34.807857513427734,416,384,480,448,448,416,64
3,BLUE,28.270164489746094,416,240,480,304,448,272,64
4,RED,127.4756851196289,256,320,320,384,288,352,64
4,RED,85.95024108886719,304,192,368,256,336,224,64
4,GREEN,36.95804977416992,304,256,368,320,336,288,64
4,GREEN,34.12538528442383,416,384,480,448,448,416,64
4,BLUE,25.566795349121094,416,240,480,304,448,272,64
5,RED,127.2201156616211,256,320,320,384,288,352,64
5,RED,88.1484375,304,192,368,256,336,224,64
5,GREEN,37.40541458129883,320,256,384,320,352,288,64
5,GREEN,34.54218292236328,416,384,480,448,448,416,64
5,BLUE,24.850095748901367,416,240,480,304,448,272,64
6,RED,126.63861846923828,256,320,320,384,288,352,64
6,RED,87.76068878173828,304,192,368,256,336,224,64
6,GREEN,35.07948684692383,320,256,384,320,352,288,64
6,GREEN,33.72621536254883,416,384,480,448,448,416,64
6,BLUE,18.81572151184082,416,256,480,320,448,288,64
7,RED,126.59247589111328,256,320,320,384,288,352,64
7,RED,88.12519073486328,304,192,368,256,336,224,64
7,GREEN,35.10004425048828,320,256,384,320,352,288,64
7,GREEN,33.983394622802734,416,384,480,448,448,416,64
7,BLUE,19.05180549621582,416,256,480,320,448,288,64
8,RED,126.03256225585938,256,320,320,384,288,352,64
8,RED,88.6025390625,304,192,368,256,336,224,64
