frame,label,score,x1,y1,x2,y2,cx,cy,patch
0,RED,110.4410629272461,160,432,224,496,192,464,64
0,RED,104.4059066772461,336,160,400,224,368,192,64
0,GREEN,39.99467086791992,240,256,304,320,272,288,64
0,GREEN,39.75663375854492,336,272,400,336,368,304,64
0,BLUE,72.87255859375,368,112,432,176,400,144,64
1,RED,110.54301452636719,160,432,224,496,192,464,64
1,RED,104.5038070678711,336,160,400,224,368,192,64
1,GREEN,39.87318801879883,240,256,304,320,272,288,64
1,GREEN,39.35976028442383,336,272,400,336,368,304,64
1,BLUE,71.90751647949219,368,112,432,176,400,144,64
2,RED,110.9124984741211,160,432,224,496,192,464,64
2,RED,104.67318725585938,336,160,400,224,368,192,64
2,GREEN,40.42182159423828,336,272,400,336,368,304,64
2,GREEN,40.223968505859375,240,256,304,320,272,288,64
2,BLUE,72.0577621459961,368,112,432,176,400,144,64
3,RED,110.74174499511719,160,432,224,496,192,464,64
3,RED,104.85697937011719,336,160,400,224,368,192,64
3,GREEN,40.15473175048828,336,272,400,336,368,304,64
3,GREEN,39.937984466552734,240,256,304,320,272,288,64
3,BLUE,71.95111846923828,368,112,432,176,400,144,64
4,RED,110.8556137084961,160,432,224,496,192,464,64
4,RED,105.4505386352539,336,160,400,224,368,192,64
4,GREEN,40.833831787109375,336,272,400,336,368,304,64
4,GREEN,40.222652435302734,240,256,304,320,272,288,64
4,BLUE,72.111083984375,368,112,432,176,400,144,64
5,RED,110.82431030273438,160,432,224,496,192,464,64
5,RED,104.76776885986328,336,160,400,224,368,192,64
5,GREEN,40.11835479736328,336,272,400,336,368,304,64
5,GREEN,39.87909698486328,240,256,304,320,272,288,64
5,BLUE,71.9974594116211,368,112,432,176,400,144,64
6,RED,110.7528305053711,160,432,224,496,192,464,64
6,RED,104.39335632324219,336,160,400,224,368,192,64
6,GREEN,40.919036865234375,336,272,400,336,368,304,64
6,GREEN,40.51747512817383,240,256,304,320,272,288,64
6,BLUE,72.01274108886719,368,112,432,176,400,144,64
7,RED,110.42108917236328,160,432,224,496,192,464,64
7,RED,104.50273132324219,336,160,400,224,368,192,64
7,GREEN,39.832515716552734,336,272,400,336,368,304,64
7,GREEN,39.80809783935547,240,256,304,320,272,288,64
7,BLUE,71.80097198486328,368,112,432,176,400,144,64
8,RED,110.52323913574219,160,432,224,496,192,464,64
8,RED,104.816650390625,336,160,400,224,368,192,64
8,GREEN,40.49955368041992,240,256,304,320,272,288,64
8,GREEN,40.43666458129883,336,272,400,336,368,304,64
8,BLUE,71.79032897949219,368,112,432,176,400,144,64
9,RED,110.2423324584961,160,432,224,496,192,464,64
9,RED,104.3106918334961,336,160,400,224,368,192,64
9,GREEN,39.57133102416992,336,272,400,336,368,304,64
9,GREEN,39.486812591552734,240,256,304,320,272,288,64
9,BLUE,71.8670883178711,368,112,432,176,400,144,64
10,RED,110.37250518798828,160,432,224,496,192,464,64
10,RED,104.4476547241211,336,160,400,224,368,192,64
10,GREEN,40.154632568359375,336,272,400,336,368,304,64
10,GREEN,39.62064743041992,240,256,304,320,272,288,64
10,BLUE,71.85507202148438,368,112,432,176,400,144,64
11,RED,110.1324234008789,160,432,224,496,192,464,64
11,RED,104.599853515625,336,160,400,224,368,192,64
11,GREEN,39.634368896484375,336,272,400,336,368,304,64
11,GREEN,39.14540481567383,240,256,304,320,272,288,64
11,BLUE,72.21092987060547,368,112,432,176,400,144,64
12,RED,110.27216339111328,160,432,224,496,192,464,64
12,RED,104.98173522949219,336,160,400,224,368,192,64
12,GREEN,40.57767868041992,240,256,304,320,272,288,64
12,GREEN,40.51195526123047,336,272,400,336,368,304,64
12,BLUE,72.17792510986328,368,112,432,176,400,144,64
13,RED,110.23193359375,160,432,224,496,192,464,64
13,RED,104.8597183227539,336,160,400,224,368,192,64
13,GREEN,40.18080520629883,240,256,304,320,272,288,64
13,GREEN,40.171478271484375,336,272,400,336,368,304,64
13,BLUE,71.81781768798828,368,112,432,176,400,144,64
14,RED,110.7059555053711,160,432,224,496,192,464,64
14,RED,104.9615707397461,336,160,400,224,368,192,64
14,GREEN,40.606929779052734,240,256,304,320,272,288,64
14,GREEN,40.59657669067383,336,272,400,336,368,304,64
14,BLUE,71.81147003173828,368,112,432,176,400,144,64
15,RED,110.43017578125,160,432,224,496,192,464,64
15,RED,104.39032745361328,336,160,400,224,368,192,64
15,GREEN,39.99989700317383,336,272,400,336,368,304,64
15,GREEN,39.904388427734375,240,256,304,320,272,288,64
15,BLUE,71.65258026123047,368,112,432,176,400,144,64
16,RED,110.25712585449219,160,432,224,496,192,464,64
16,RED,105.146728515625,336,160,400,224,368,192,64
16,GREEN,40.63895797729492,336,272,400,336,368,304,64
16,GREEN,40.61957550048828,240,256,304,320,272,288,64
16,BLUE,71.70956420898438,368,112,432,176,400,144,64
17,RED,110.60751342773438,160,432,224,496,192,464,64
17,RED,105.3309097290039,336,176,400,240,368,208,64
17,GREEN,40.185638427734375,336,272,400,336,368,304,64
17,GREEN,39.69867706298828,240,256,304,320,272,288,64
17,BLUE,71.7535629272461,368,112,432,176,400,144,64
18,RED,111.1996078491211,160,432,224,496,192,464,64
18,RED,105.40717315673828,336,160,400,224,368,192,64
18,GREEN,40.77812194824219,240,256,304,320,272,288,64
18,GREEN,40.39882278442383,336,272,400,336,368,304,64
18,BLUE,71.8624496459961,368,112,432,176,400,144,64
19,RED,110.7586898803711,160,432,224,496,192,464,64
19,RED,104.16278839111328,336,160,400,224,368,192,64
19,GREEN,39.873382568359375,240,256,304,320,272,288,64
19,GREEN,39.48954391479492,336,272,400,336,368,304,64
19,BLUE,71.87724304199219,368,112,432,176,400,144,64
20,RED,110.69873046875,160,432,224,496,192,464,64
20,RED,104.90204620361328,336,160,400,224,368,192,64
20,GREEN,40.61405563354492,336,272,400,336,368,304,64
20,GREEN,40.594818115234375,240,256,304,320,272,288,64
20,BLUE,72.1744613647461,368,112,432,176,400,144,64
21,RED,110.568359375,160,432,224,496,192,464,64
21,RED,104.7646484375,336,176,400,240,368,208,64
21,GREEN,39.84760284423828,240,256,304,320,272,288,64
21,GREEN,39.45585250854492,336,272,400,336,368,304,64
21,BLUE,71.7433090209961,368,112,432,176,400,144,64
22,RED,110.979736328125,160,432,224,496,192,464,64
22,RED,104.6785659790039,336,176,400,240,368,208,64
22,GREEN,40.457027435302734,240,256,304,320,272,288,64
22,GREEN,40.100826263427734,336,272,400,336,368,304,64
22,BLUE,71.82450866699219,368,112,432,176,400,144,64
23,RED,110.84184265136719,160,432,224,496,192,464,64
23,RED,105.02665710449219,336,176,400,240,368,208,64
23,GREEN,39.496578216552734,240,256,304,320,272,288,64
23,GREEN,39.20063018798828,336,272,400,336,368,304,64
23,BLUE,71.53271484375,368,112,432,176,400,144,64
24,RED,110.9945297241211,160,432,224,496,192,464,64
24,RED,104.9803237915039,336,176,400,240,368,208,64
24,GREEN,39.58930206298828,336,272,400,336,368,304,64
24,GREEN,39.35834503173828,240,256,304,320,272,288,64
24,BLUE,71.7176742553711,368,112,432,176,400,144,64
25,RED,110.125244140625,160,432,224,496,192,464,64
25,RED,105.03837585449219,336,176,400,240,368,208,64
25,GREEN,38.83768844604492,336,272,400,336,368,304,64
25,GREEN,38.32953643798828,240,256,304,320,272,288,64
