frame,label,score,x1,y1,x2,y2,cx,cy,patch
22,GREEN,45.50419616699219,304,256,368,320,336,288,64
22,GREEN,21.139450073242188,208,272,272,336,240,304,64
22,BLUE,64.2831039428711,304,176,368,240,336,208,64
23,RED,125.8287582397461,384,176,448,240,416,208,64
23,RED,58.26303482055664,384,304,448,368,416,336,64
23,GREEN,46.06620788574219,304,256,368,320,336,288,64
23,GREEN,21.423433303833008,208,288,272,352,240,320,64
23,BLUE,64.79535675048828,304,176,368,240,336,208,64
24,RED,125.588623046875,384,176,448,240,416,208,64
24,RED,57.987056732177734,384,304,448,368,416,336,64
24,GREEN,45.74809265136719,304,256,368,320,336,288,64
24,GREEN,21.35629653930664,208,288,272,352,240,320,64
24,BLUE,64.70610046386719,304,176,368,240,336,208,64
25,RED,125.686279296875,384,176,448,240,416,208,64
25,RED,58.15663528442383,384,304,448,368,416,336,64
25,GREEN,46.54481887817383,304,256,368,320,336,288,64
25,GREEN,21.953853607177734,208,272,272,336,240,304,64
25,BLUE,64.90878295898438,304,176,368,240,336,208,64
26,RED,125.57392120361328,384,176,448,240,416,208,64
26,RED,58.17221450805664,384,304,448,368,416,336,64
26,GREEN,45.95228958129883,304,256,368,320,336,288,64
26,GREEN,21.47031021118164,208,272,272,336,240,304,64
26,BLUE,64.70746612548828,304,176,368,240,336,208,64
27,RED,125.932373046875,384,176,448,240,416,208,64
27,RED,58.277339935302734,384,304,448,368,416,336,64
27,GREEN,46.25233840942383,304,256,368,320,336,288,64
27,GREEN,21.920259475708008,208,272,272,336,240,304,64
27,BLUE,64.76786804199219,304,176,368,240,336,208,64
28,RED,125.6653823852539,384,176,448,240,416,208,64
28,RED,58.55067825317383,384,304,448,368,416,336,64
28,GREEN,45.856685638427734,304,256,368,320,336,288,64
28,GREEN,21.478023529052734,208,272,272,336,240,304,64
28,BLUE,64.28412628173828,304,176,368,240,336,208,64
29,RED,125.94232940673828,384,176,448,240,416,208,64
29,RED,58.652584075927734,384,304,448,368,416,336,64
29,GREEN,46.05400085449219,304,256,368,320,336,288,64
29,GREEN,21.785152435302734,208,272,272,336,240,304,64
29,BLUE,64.37641143798828,304,176,368,240,336,208,64
30,RED,125.5035171508789,384,176,448,240,416,208,64
30,RED,58.494625091552734,384,304,448,368,416,336,64
30,GREEN,45.842769622802734,304,256,368,320,336,288,64
30,GREEN,21.61122703552246,208,272,272,336,240,304,64
30,BLUE,63.98735046386719,304,176,368,240,336,208,64
31,RED,125.85331726074219,384,176,448,240,416,208,64
31,RED,58.921627044677734,384,304,448,368,416,336,64
31,GREEN,46.186763763427734,304,256,368,320,336,288,64
31,GREEN,21.916988372802734,208,272,272,336,240,304,64
31,BLUE,63.87343215942383,304,176,368,240,336,208,64
32,RED,125.6417007446289,384,176,448,240,416,208,64
32,RED,58.85409927368164,384,304,448,368,416,336,64
32,GREEN,45.86777114868164,304,256,368,320,336,288,64
32,GREEN,21.759761810302734,208,272,272,336,240,304,64
32,BLUE,63.979244232177734,304,176,368,240,336,208,64
33,RED,125.88632202148438,384,176,448,240,416,208,64
33,RED,58.97983169555664,384,304,448,368,416,336,64
33,GREEN,46.186519622802734,304,256,368,320,336,288,64
33,GREEN,22.148042678833008,208,272,272,336,240,304,64
33,BLUE,64.4701156616211,304,176,368,240,336,208,64
34,RED,125.628173828125,384,176,448,240,416,208,64
34,RED,58.78241729736328,384,304,448,368,416,336,64
34,GREEN,45.51469421386719,304,256,368,320,336,288,64
34,GREEN,21.62167739868164,208,272,272,336,240,304,64
34,BLUE,64.3369140625,304,176,368,240,336,208,64
35,RED,126.04291534423828,384,176,448,240,416,208,64
35,RED,58.96977233886719,384,304,448,368,416,336,64
35,GREEN,45.88969421386719,304,256,368,320,336,288,64
35,GREEN,22.157760620117188,208,288,272,352,240,320,64
35,BLUE,64.3744125366211,304,176,368,240,336,208,64
36,RED,125.53437042236328,384,176,448,240,416,208,64
36,RED,58.67778015136719,384,304,448,368,416,336,64
36,GREEN,45.54277038574219,304,256,368,320,336,288,64
36,GREEN,21.89980125427246,208,272,272,336,240,304,64
36,BLUE,64.3832015991211,304,176,368,240,336,208,64
37,RED,125.633544921875,384,176,448,240,416,208,64
37,RED,58.79706573486328,384,304,448,368,416,336,64
37,GREEN,45.967674255371094,304,256,368,320,336,288,64
37,GREEN,21.705368041992188,208,272,272,336,240,304,64
37,BLUE,64.32030487060547,304,176,368,240,336,208,64
38,RED,125.5238265991211,384,176,448,240,416,208,64
38,RED,58.60019302368164,384,304,448,368,416,336,64
38,GREEN,45.516109466552734,304,256,368,320,336,288,64
38,GREEN,21.407272338867188,208,272,272,336,240,304,64
38,BLUE,64.37543487548828,304,176,368,240,336,208,64
39,RED,126.05131530761719,384,176,448,240,416,208,64
39,RED,59.02894973754883,384,304,448,368,416,336,64
39,GREEN,45.99863052368164,304,256,368,320,336,288,64
39,GREEN,21.659713745117188,208,288,272,352,240,320,64
39,BLUE,64.55292510986328,304,176,368,240,336,208,64
40,RED,125.84247589111328,384,176,448,240,416,208,64
40,RED,58.647457122802734,384,304,448,368,416,336,64
40,GREEN,45.42973327636719,304,256,368,320,336,288,64
40,GREEN,21.303951263427734,208,272,272,336,240,304,64
40,BLUE,64.28207397460938,304,176,368,240,336,208,64
