frame,label,track_id,x_pred,y_pred,miss_count
0,RED,0,416.0,208.0,0
0,RED,1,416.0,336.0,0
0,GREEN,0,336.0,288.0,0
0,GREEN,1,240.0,320.0,0
0,BLUE,0,336.0,208.0,0
1,RED,0,416.0,208.0,0
1,RED,1,416.0,336.0,0
1,GREEN,0,336.0,288.0,0
1,GREEN,1,240.0,320.0,0
1,BLUE,0,336.0,208.0,0
2,RED,0,416.0,208.0,0
2,RED,1,416.0,336.0,0
2,GREEN,0,336.0,288.0,0
2,GREEN,1,240.0,320.0,0
2,BLUE,0,336.0,208.0,0
3,RED,0,416.0,208.0,0
3,RED,1,416.0,336.0,0
3,GREEN,0,336.0,288.0,0
3,GREEN,1,240.0,320.0,0
3,BLUE,0,336.0,208.0,0
4,RED,0,416.0,208.0,0
4,RED,1,416.0,336.0,0
4,GREEN,0,336.0,288.0,0
4,GREEN,1,240.0,320.0,0
4,BLUE,0,336.0,208.0,0
5,RED,0,416.0,208.0,0
5,RED,1,416.0,336.0,0
5,GREEN,0,336.0,288.0,0
5,GREEN,1,240.0,320.0,0
5,BLUE,0,336.0,208.0,0
6,RED,0,416.0,208.0,0
6,RED,1,416.0,336.0,0
6,GREEN,0,336.0,288.0,0
6,GREEN,1,240.0,320.0,0
6,BLUE,0,336.0,208.0,0
7,RED,0,416.0,208.0,0
7,RED,1,416.0,336.0,0
7,GREEN,0,336.0,288.0,0
7,GREEN,1,240.0,320.0,0
7,BLUE,0,336.0,208.0,0
8,RED,0,416.0,208.0,0
8,RED,1,416.0,336.0,0
8,GREEN,0,336.0,288.0,0
8,GREEN,1,240.0,320.0,0
8,BLUE,0,336.0,208.0,0
9,RED,0,416.0,208.0,0
9,RED,1,416.0,336.0,0
9,GREEN,0,336.0,288.0,0
9,GREEN,1,240.0,320.0,0
9,BLUE,0,336.0,208.0,0
10,RED,0,416.0,208.0,0
10,RED,1,416.0,336.0,0
10,GREEN,0,336.0,288.0,0
10,GREEN,1,240.0,320.0,0
10,BLUE,0,336.0,208.0,0
11,RED,0,416.0,208.0,0
11,RED,1,416.0,336.0,0
11,GREEN,0,336.0,288.0,0
11,GREEN,1,240.0,320.0,0
11,BLUE,0,336.0,208.0,0
12,RED,0,416.0,208.0,0
12,RED,1,416.0,336.0,0
12,GREEN,0,336.0,288.0,0
12,GREEN,1,240.0,308.1491394042969,0
12,BLUE,0,336.0,208.0,0
13,RED,0,416.0,208.0,0
13,RED,1,416.0,336.0,0
13,GREEN,0,336.0,288.0,0
13,GREEN,1,240.0,315.2901916503906,0
13,BLUE,0,336.0,208.0,0
14,RED,0,416.0,208.0,0
14,RED,1,416.0,336.0,0
14,GREEN,0,336.0,288.0,0
14,GREEN,1,240.0,307.14892578125,0
14,BLUE,0,336.0,208.0,0
15,RED,0,416.0,208.0,0
15,RED,1,416.0,336.0,0
15,GREEN,0,336.0,288.0,0
15,GREEN,1,240.0,303.7956237792969,0
15,BLUE,0,336.0,208.0,0
16,RED,0,416.0,208.0,0
16,RED,1,416.0,336.0,0
16,GREEN,0,336.0,288.0,0
16,GREEN,1,240.0,314.8575439453125,0
16,BLUE,0,336.0,208.0,0
17,RED,0,416.0,208.0,0
17,RED,1,416.0,336.0,0
17,GREEN,0,336.0,288.0,0
17,GREEN,1,240.0,319.75457763671875,0
17,BLUE,0,336.0,208.0,0
18,RED,0,416.0,208.0,0
18,RED,1,416.0,336.0,0
18,GREEN,0,336.0,288.0,0
18,GREEN,1,240.0,321.12127685546875,0
18,BLUE,0,336.0,208.0,0
19,RED,0,416.0,208.0,0
19,RED,1,416.0,336.0,0
19,GREEN,0,336.0,288.0,0
19,GREEN,1,240.0,321.0334167480469,0
19,BLUE,0,336.0,208.0,0
20,RED,0,416.0,208.0,0
20,RED,1,416.0,336.0,0
20,GREEN,0,336.0,288.0,0
20,GREEN,1,240.0,320.6029968261719,0
20,BLUE,0,336.0,208.0,0
21,RED,0,416.0,208.0,0
21,RED,1,416.0,336.0,0
21,GREEN,0,336.0,288.0,0
21,GREEN,1,240.0,320.2535400390625,0
21,BLUE,0,336.0,208.0,0
22,RED,0,416.0,208.0,0
22,RED,1,416.0,336.0,0
22,GREEN,0,336.0,288.0,0
22,GREEN,1,240.0,308.2120361328125,0
22,BLUE,0,336.0,208.0,0
23,RED,0,416.0,208.0,0
23,RED,1,416.0,336.0,0
23,GREEN,0,336.0,288.0,0
23,GREEN,1,240.0,315.2788391113281,0
