frame,label,track_id,x_pred,y_pred,miss_count
0,RED,0,192.0,464.0,0
0,RED,1,368.0,192.0,0
0,GREEN,0,272.0,288.0,0
0,GREEN,1,368.0,304.0,0
0,BLUE,0,400.0,144.0,0
1,RED,0,192.0,464.0,0
1,RED,1,368.0,192.0,0
1,GREEN,0,272.0,288.0,0
1,GREEN,1,368.0,304.0,0
1,BLUE,0,400.0,144.0,0
2,RED,0,192.0,464.0,0
2,RED,1,368.0,192.0,0
2,GREEN,0,272.0,288.0,0
2,GREEN,1,368.0,304.0,0
2,BLUE,0,400.0,144.0,0
3,RED,0,192.0,464.0,0
3,RED,1,368.0,192.0,0
3,GREEN,0,272.0,288.0,0
3,GREEN,1,368.0,304.0,0
3,BLUE,0,400.0,144.0,0
4,RED,0,192.0,464.0,0
4,RED,1,368.0,192.0,0
4,GREEN,0,272.0,288.0,0
4,GREEN,1,368.0,304.0,0
4,BLUE,0,400.0,144.0,0
5,RED,0,192.0,464.0,0
5,RED,1,368.0,192.0,0
5,GREEN,0,272.0,288.0,0
5,GREEN,1,368.0,304.0,0
5,BLUE,0,400.0,144.0,0
6,RED,0,192.0,464.0,0
6,RED,1,368.0,192.0,0
6,GREEN,0,272.0,288.0,0
6,GREEN,1,368.0,304.0,0
6,BLUE,0,400.0,144.0,0
7,RED,0,192.0,464.0,0
7,RED,1,368.0,192.0,0
7,GREEN,0,272.0,288.0,0
7,GREEN,1,368.0,304.0,0
7,BLUE,0,400.0,144.0,0
8,RED,0,192.0,464.0,0
8,RED,1,368.0,192.0,0
8,GREEN,0,272.0,288.0,0
8,GREEN,1,368.0,304.0,0
8,BLUE,0,400.0,144.0,0
9,RED,0,192.0,464.0,0
9,RED,1,368.0,192.0,0
9,GREEN,0,272.0,288.0,0
9,GREEN,1,368.0,304.0,0
9,BLUE,0,400.0,144.0,0
10,RED,0,192.0,464.0,0
10,RED,1,368.0,192.0,0
10,GREEN,0,272.0,288.0,0
10,GREEN,1,368.0,304.0,0
10,BLUE,0,400.0,144.0,0
11,RED,0,192.0,464.0,0
11,RED,1,368.0,192.0,0
11,GREEN,0,272.0,288.0,0
11,GREEN,1,368.0,304.0,0
11,BLUE,0,400.0,144.0,0
12,RED,0,192.0,464.0,0
12,RED,1,368.0,192.0,0
12,GREEN,0,272.0,288.0,0
12,GREEN,1,368.0,304.0,0
12,BLUE,0,400.0,144.0,0
13,RED,0,192.0,464.0,0
13,RED,1,368.0,192.0,0
13,GREEN,0,272.0,288.0,0
13,GREEN,1,368.0,304.0,0
13,BLUE,0,400.0,144.0,0
14,RED,0,192.0,464.0,0
14,RED,1,368.0,192.0,0
14,GREEN,0,272.0,288.0,0
14,GREEN,1,368.0,304.0,0
14,BLUE,0,400.0,144.0,0
15,RED,0,192.0,464.0,0
15,RED,1,368.0,192.0,0
15,GREEN,0,272.0,288.0,0
15,GREEN,1,368.0,304.0,0
15,BLUE,0,400.0,144.0,0
16,RED,0,192.0,464.0,0
16,RED,1,368.0,192.0,0
16,GREEN,0,272.0,288.0,0
16,GREEN,1,368.0,304.0,0
16,BLUE,0,400.0,144.0,0
17,RED,0,192.0,464.0,0
17,RED,1,368.0,203.85086059570312,0
17,GREEN,0,272.0,288.0,0
17,GREEN,1,368.0,304.0,0
17,BLUE,0,400.0,144.0,0
18,RED,0,192.0,464.0,0
18,RED,1,368.0,196.70980834960938,0
18,GREEN,0,272.0,288.0,0
18,GREEN,1,368.0,304.0,0
18,BLUE,0,400.0,144.0,0
19,RED,0,192.0,464.0,0
19,RED,1,368.0,193.00018310546875,0
19,GREEN,0,272.0,288.0,0
19,GREEN,1,368.0,304.0,0
19,BLUE,0,400.0,144.0,0
20,RED,0,192.0,464.0,0
20,RED,1,368.0,191.6436767578125,0
20,GREEN,0,272.0,288.0,0
20,GREEN,1,368.0,304.0,0
20,BLUE,0,400.0,144.0,0
21,RED,0,192.0,464.0,0
21,RED,1,368.0,203.2833251953125,0
21,GREEN,0,272.0,288.0,0
21,GREEN,1,368.0,304.0,0
21,BLUE,0,400.0,144.0,0
22,RED,0,192.0,464.0,0
22,RED,1,368.0,208.1622314453125,0
22,GREEN,0,272.0,288.0,0
22,GREEN,1,368.0,304.0,0
22,BLUE,0,400.0,144.0,0
23,RED,0,192.0,464.0,0
23,RED,1,368.0,209.36343383789062,0
23,GREEN,0,272.0,288.0,0
23,GREEN,1,368.0,304.0,0
23,BLUE,0,400.0,144.0,0
24,RED,0,192.0,464.0,0
24,RED,1,368.0,209.1371307373047,0
24,GREEN,0,272.0,288.0,0
24,GREEN,1,368.0,304.0,0
24,BLUE,0,400.0,144.0,0
25,RED,0,192.0,464.0,0
25,RED,1,368.0,208.62989807128906,0
25,GREEN,0,272.0,288.0,0
25,GREEN,1,368.0,304.0,0
25,BLUE,0,400.0,144.0,0
26,RED,0,192.0,464.0,0
26,RED,1,368.0,196.39903259277344,0
26,GREEN,0,272.0,288.0,0
26,GREEN,1,368.0,304.0,0
26,BLUE,0,400.0,144.0,0
27,RED,0,192.0,464.0,0
27,RED,1,368.0,191.4921112060547,0
27,GREEN,0,272.0,288.0,0
27,GREEN,1,368.0,304.0,0
27,BLUE,0,400.0,144.0,0
28,RED,0,192.0,464.0,0
28,RED,1,368.0,190.41998291015625,0
28,GREEN,0,272.0,288.0,0
28,GREEN,1,368.0,304.0,0
28,BLUE,0,400.0,144.0,0
29,RED,0,192.0,464.0,0
29,RED,1,368.0,202.61605834960938,0
29,GREEN,0,272.0,288.0,0
29,GREEN,1,368.0,304.0,0
29,BLUE,0,400.0,144.0,0
30,RED,0,192.0,464.0,0
30,RED,1,368.0,207.9024658203125,0
30,GREEN,0,272.0,288.0,0
30,GREEN,1,368.0,304.0,0
30,BLUE,0,400.0,144.0,0
31,RED,0,192.0,464.0,0
31,RED,1,368.0,209.3118133544922,0
31,GREEN,0,272.0,288.0,0
31,GREEN,1,368.0,304.0,0
31,BLUE,0,400.0,144.0,0
32,RED,0,192.0,464.0,0
32,RED,1,368.0,209.1598358154297,0
32,GREEN,0,272.0,288.0,0
32,GREEN,1,368.0,304.0,0
32,BLUE,0,400.0,144.0,0
33,RED,0,192.0,464.0,0
33,RED,1,368.0,208.66293334960938,0
33,GREEN,0,272.0,288.0,0
33,GREEN,1,368.0,304.0,0
33,BLUE,0,400.0,144.0,0
34,RED,0,192.0,464.0,0
34,RED,1,368.0,196.4217071533203,0
34,GREEN,0,272.0,288.0,0
34,GREEN,1,368.0,304.0,0
34,BLUE,0,400.0,144.0,0
35,RED,0,192.0,464.0,0
35,RED,1,368.0,191.50315856933594,0
35,GREEN,0,272.0,288.0,0
35,GREEN,1,368.0,304.0,0
35,BLUE,0,400.0,144.0,0
36,RED,0,192.0,464.0,0
36,RED,1,368.0,190.4236602783203,0
36,GREEN,0,272.0,288.0,0
36,GREEN,1,368.0,304.0,0
36,BLUE,0,400.0,144.0,0
37,RED,0,192.0,464.0,0
37,RED,1,368.0,202.6163787841797,0
37,GREEN,0,272.0,288.0,0
37,GREEN,1,368.0,304.0,0
37,BLUE,0,400.0,144.0,0
38,RED,0,192.0,464.0,0
38,RED,1,368.0,207.9017791748047,0
38,GREEN,0,272.0,288.0,0
38,GREEN,1,368.0,304.0,0
38,BLUE,0,400.0,144.0,0
39,RED,0,192.0,464.0,0
39,RED,1,368.0,209.31114196777344,0
39,GREEN,0,272.0,288.0,0
39,GREEN,1,368.0,304.0,0
39,BLUE,0,400.0,144.0,0
40,RED,0,192.0,464.0,0
40,RED,1,368.0,209.15943908691406,0
40,GREEN,0,272.0,288.0,0
40,GREEN,1,368.0,304.0,0
40,BLUE,0,400.0,144.0,0
41,RED,0,192.0,464.0,0
41,RED,1,368.0,208.66275024414062,0
41,GREEN,0,272.0,288.0,0
41,GREEN,1,368.0,304.0,0
41,BLUE,0,400.0,144.0,0
42,RED,0,192.0,464.0,0
42,RED,1,368.0,196.42166137695312,0
42,GREEN,0,272.0,288.0,0
42,GREEN,1,368.0,304.0,0
42,BLUE,0,400.0,144.0,0
43,RED,0,192.0,464.0,0
43,RED,1,368.0,191.50315856933594,0
43,GREEN,0,272.0,288.0,0
43,GREEN,1,368.0,304.0,0
43,BLUE,0,400.0,144.0,0
44,RED,0,192.0,464.0,0
44,RED,1,368.0,202.2745361328125,0
44,GREEN,0,272.0,288.0,0
44,GREEN,1,368.0,304.0,0
44,BLUE,0,400.0,144.0,0
45,RED,0,192.0,464.0,0
45,RED,1,368.0,207.32620239257812,0
45,GREEN,0,272.0,288.0,0
45,GREEN,1,368.0,304.0,0
45,BLUE,0,400.0,144.0,0
46,RED,0,192.0,464.0,0
46,RED,1,368.0,208.9019775390625,0
