frame,label,score,x1,y1,x2,y2,cx,cy,patch
0,RED,119.79950714111328,240,368,304,432,272,400,64
0,RED,97.53158569335938,304,160,368,224,336,192,64
0,GREEN,40.46601104736328,432,384,496,448,464,416,64
0,GREEN,29.78285789489746,304,112,368,176,336,144,64
0,BLUE,87.52299499511719,256,272,320,336,288,304,64
1,RED,119.5094223022461,240,368,304,432,272,400,64
1,RED,97.75785827636719,304,160,368,224,336,192,64
1,GREEN,40.29764938354492,432,384,496,448,464,416,64
1,GREEN,29.979585647583008,304,112,368,176,336,144,64
1,BLUE,87.39842987060547,256,272,320,336,288,304,64
2,RED,119.82080078125,240,368,304,432,272,400,64
2,RED,98.03060913085938,304,160,368,224,336,192,64
2,GREEN,40.697994232177734,432,384,496,448,464,416,64
2,GREEN,30.724897384643555,304,112,368,176,336,144,64
2,BLUE,87.57597351074219,256,272,320,336,288,304,64
3,RED,119.26679229736328,240,368,304,432,272,400,64
3,RED,97.65121459960938,304,160,368,224,336,192,64
3,GREEN,40.33475875854492,432,384,496,448,464,416,64
3,GREEN,29.607709884643555,304,112,368,176,336,144,64
3,BLUE,87.23900604248047,256,272,320,336,288,304,64
4,RED,119.4306640625,240,368,304,432,272,400,64
4,RED,97.83930206298828,304,160,368,224,336,192,64
4,GREEN,40.58705520629883,432,384,496,448,464,416,64
4,GREEN,29.77582550048828,304,112,368,176,336,144,64
4,BLUE,87.15560913085938,256,272,320,336,288,304,64
5,RED,119.24384307861328,240,368,304,432,272,400,64
5,RED,97.59784698486328,304,160,368,224,336,192,64
5,GREEN,40.30658721923828,432,384,496,448,464,416,64
5,GREEN,29.559858322143555,304,112,368,176,336,144,64
5,BLUE,87.01156616210938,256,272,320,336,288,304,64
6,RED,119.89335632324219,240,368,304,432,272,400,64
6,RED,98.0768051147461,304,160,368,224,336,192,64
6,GREEN,40.70804977416992,432,384,496,448,464,416,64
6,GREEN,30.567476272583008,304,112,368,176,336,144,64
6,BLUE,87.10673522949219,256,272,320,336,288,304,64
7,RED,119.681884765625,240,368,304,432,272,400,64
7,RED,97.9336929321289,304,160,368,224,336,192,64
7,GREEN,39.97465133666992,432,384,496,448,464,416,64
7,GREEN,29.98114776611328,304,112,368,176,336,144,64
7,BLUE,86.79306030273438,256,272,320,336,288,304,64
8,RED,119.9757308959961,240,368,304,432,272,400,64
8,RED,97.6551742553711,304,160,368,224,336,192,64
8,GREEN,40.07733917236328,432,384,496,448,464,416,64
8,GREEN,30.03261375427246,304,112,368,176,336,144,64
8,BLUE,86.7896957397461,256,272,320,336,288,304,64
9,RED,119.5643539428711,240,368,304,432,272,400,64
9,RED,98.098876953125,304,160,368,224,336,192,64
9,GREEN,39.940670013427734,432,384,496,448,464,416,64
9,GREEN,29.956588745117188,304,112,368,176,336,144,64
9,BLUE,86.3600082397461,256,272,320,336,288,304,64
10,RED,119.49711608886719,240,368,304,432,272,400,64
10,RED,98.0555648803711,304,160,368,224,336,192,64
10,GREEN,40.13983917236328,432,384,496,448,464,416,64
10,GREEN,30.310640335083008,304,112,368,176,336,144,64
10,BLUE,86.68803405761719,256,272,320,336,288,304,64
11,RED,119.10433959960938,240,368,304,432,272,400,64
11,RED,97.84326171875,304,160,368,224,336,192,64
11,GREEN,39.39003372192383,416,384,480,448,448,416,64
