frame,label,score,x1,y1,x2,y2,cx,cy,patch
0,RED,111.292236328125,240,160,304,224,272,192,64
0,RED,75.52973937988281,256,256,320,320,288,288,64
0,GREEN,45.71918487548828,336,208,400,272,368,240,64
0,GREEN,5.346435546875,304,112,368,176,336,144,64
0,BLUE,66.22216796875,304,128,368,192,336,160,64
1,RED,111.21332550048828,240,160,304,224,272,192,64
1,RED,76.20414733886719,256,256,320,320,288,288,64
1,GREEN,45.57782745361328,336,208,400,272,368,240,64
1,GREEN,5.272021293640137,304,112,368,176,336,144,64
1,BLUE,65.4369125366211,304,128,368,192,336,160,64
2,RED,111.16620635986328,240,160,304,224,272,192,64
2,RED,76.15385437011719,256,256,320,320,288,288,64
2,GREEN,45.84076690673828,336,208,400,272,368,240,64
2,GREEN,5.391894340515137,304,112,368,176,336,144,64
2,BLUE,66.3224105834961,304,128,368,192,336,160,64
3,RED,110.9041976928711,240,160,304,224,272,192,64
3,RED,76.19136047363281,256,256,320,320,288,288,64
3,GREEN,45.411373138427734,336,208,400,272,368,240,64
3,GREEN,5.054882526397705,304,112,368,176,336,144,64
3,BLUE,65.7867660522461,304,128,368,192,336,160,64
4,RED,110.8162612915039,240,160,304,224,272,192,64
4,RED,76.28422546386719,256,256,320,320,288,288,64
4,GREEN,45.702484130859375,336,208,400,272,368,240,64
4,GREEN,5.080664157867432,304,112,368,176,336,144,64
4,BLUE,65.1117172241211,304,128,368,192,336,160,64
5,RED,110.6624984741211,240,160,304,224,272,192,64
5,RED,76.26313781738281,256,256,320,320,288,288,64
5,GREEN,45.001068115234375,336,208,400,272,368,240,64
5,GREEN,4.6284661293029785,304,112,368,176,336,144,64
5,BLUE,64.77352905273438,304,128,368,192,336,160,64
6,RED,110.62162780761719,240,160,304,224,272,192,64
6,RED,76.2540054321289,256,256,320,320,288,288,64
6,GREEN,45.51161575317383,336,208,400,272,368,240,64
6,GREEN,4.765088081359863,304,112,368,176,336,144,64
6,BLUE,64.66342163085938,304,128,368,192,336,160,64
7,RED,110.046142578125,240,160,304,224,272,192,64
7,RED,76.04931640625,256,256,320,320,288,288,64
7,GREEN,45.382320404052734,336,208,400,272,368,240,64
7,GREEN,4.44204044342041,304,112,368,176,336,144,64
7,BLUE,64.61454772949219,304,128,368,192,336,160,64
8,RED,111.75409698486328,240,192,304,256,272,224,64
8,RED,59.45170593261719,320,320,384,384,352,352,64
8,GREEN,21.945310592651367,352,240,416,304,384,272,64
8,GREEN,14.579880714416504,304,144,368,208,336,176,64
8,BLUE,65.19096374511719,304,128,368,192,336,160,64
9,RED,111.6378402709961,240,192,304,256,272,224,64
9,RED,58.90121841430664,320,320,384,384,352,352,64
9,GREEN,20.960105895996094,352,240,416,304,384,272,64
9,GREEN,15.02714729309082,304,144,368,208,336,176,64
9,BLUE,65.66083526611328,304,128,368,192,336,160,64
10,RED,112.07074737548828,240,192,304,256,272,224,64
10,RED,58.62236022949219,320,320,384,384,352,352,64
10,GREEN,21.354686737060547,352,240,416,304,384,272,64
10,GREEN,14.00444221496582,304,144,368,208,336,176,64
10,BLUE,65.7364730834961,304,128,368,192,336,160,64
11,RED,112.669189453125,240,160,304,224,272,192,64
11,RED,63.483787536621094,240,256,304,320,272,288,64
11,GREEN,22.48979377746582,352,240,416,304,384,272,64
11,GREEN,14.348386764526367,304,144,368,208,336,176,64
11,BLUE,65.48417663574219,304,128,368,192,336,160,64
12,RED,112.78168487548828,240,192,304,256,272,224,64
12,RED,59.74262237548828,320,320,384,384,352,352,64
12,GREEN,22.211814880371094,352,240,416,304,384,272,64
12,GREEN,13.538620948791504,304,144,368,208,336,176,64
12,BLUE,65.0108871459961,304,128,368,192,336,160,64
13,RED,113.79169464111328,240,192,304,256,272,224,64
13,RED,60.162105560302734,320,320,384,384,352,352,64
13,GREEN,22.523143768310547,352,240,416,304,384,272,64
13,GREEN,13.95576000213623,304,144,368,208,336,176,64
13,BLUE,64.83642578125,304,128,368,192,336,160,64
14,RED,111.77445983886719,240,192,304,256,272,224,64
14,RED,60.92074966430664,320,320,384,384,352,352,64
14,GREEN,23.17099380493164,352,240,416,304,384,272,64
14,GREEN,13.685887336730957,304,144,368,208,336,176,64
14,BLUE,62.99506378173828,304,128,368,192,336,160,64
15,RED,114.8741683959961,240,192,304,256,272,224,64
15,RED,60.150970458984375,320,320,384,384,352,352,64
15,GREEN,23.34111213684082,352,240,416,304,384,272,64
15,GREEN,14.211570739746094,304,144,368,208,336,176,64
15,BLUE,61.68998718261719,304,128,368,192,336,160,64
16,RED,113.9583969116211,240,192,304,256,272,224,64
16,RED,59.70990753173828,320,320,384,384,352,352,64
16,GREEN,23.013669967651367,352,240,416,304,384,272,64
16,GREEN,14.427781105041504,304,144,368,208,336,176,64
16,BLUE,59.73295593261719,304,128,368,192,336,160,64
17,RED,116.01225280761719,240,192,304,256,272,224,64
17,RED,59.98740005493164,320,320,384,384,352,352,64
17,GREEN,23.817039489746094,352,240,416,304,384,272,64
17,GREEN,14.460203170776367,304,144,368,208,336,176,64
17,BLUE,58.96405792236328,304,128,368,192,336,160,64
18,RED,112.64618682861328,240,160,304,224,272,192,64
18,RED,72.40131378173828,240,256,304,320,272,288,64
18,GREEN,22.71542739868164,352,240,416,304,384,272,64
18,GREEN,14.280515670776367,304,144,368,208,336,176,64
18,BLUE,58.334224700927734,304,128,368,192,336,160,64
19,RED,113.5979995727539,240,192,304,256,272,224,64
19,RED,59.92201614379883,320,320,384,384,352,352,64
19,GREEN,23.078758239746094,352,240,416,304,384,272,64
19,GREEN,14.087449073791504,304,144,368,208,336,176,64
19,BLUE,59.155513763427734,304,128,368,192,336,160,64
20,RED,113.5816879272461,240,192,304,256,272,224,64
20,RED,59.443206787109375,320,320,384,384,352,352,64
20,GREEN,22.471872329711914,352,240,416,304,384,272,64
20,GREEN,13.427488327026367,304,144,368,208,336,176,64
20,BLUE,61.071922302246094,304,128,368,192,336,160,64
21,RED,115.435546875,240,192,304,256,272,224,64
21,RED,59.897212982177734,240,288,304,352,272,320,64
21,GREEN,23.184568405151367,352,240,416,304,384,272,64
21,GREEN,13.86176586151123,304,144,368,208,336,176,64
21,BLUE,62.50312423706055,304,128,368,192,336,160,64
22,RED,113.069091796875,240,192,304,256,272,224,64
22,RED,60.82905197143555,240,288,304,352,272,320,64
22,GREEN,23.076658248901367,352,240,416,304,384,272,64
22,GREEN,13.402000427246094,304,144,368,208,336,176,64
22,BLUE,62.133934020996094,304,128,368,192,336,160,64
23,RED,113.05854034423828,240,160,304,224,272,192,64
23,RED,80.48564147949219,240,256,304,320,272,288,64
23,GREEN,23.65585708618164,352,240,416,304,384,272,64
23,GREEN,14.42973518371582,304,144,368,208,336,176,64
23,BLUE,62.97909927368164,304,128,368,192,336,160,64
24,RED,112.370361328125,240,160,304,224,272,192,64
24,RED,80.4359359741211,240,256,304,320,272,288,64
24,GREEN,23.50273323059082,352,240,416,304,384,272,64
24,GREEN,13.71747875213623,304,144,368,208,336,176,64
24,BLUE,64.27001953125,304,128,368,192,336,160,64
25,RED,112.47367858886719,240,160,304,224,272,192,64
25,RED,80.3846206665039,240,256,304,320,272,288,64
25,GREEN,24.456981658935547,352,240,416,304,384,272,64
25,GREEN,13.90742015838623,304,144,368,208,336,176,64
25,BLUE,65.13520050048828,304,128,368,192,336,160,64
26,RED,112.1258773803711,240,160,304,224,272,192,64
26,RED,80.8284683227539,240,256,304,320,272,288,64
26,GREEN,24.03178596496582,368,240,432,304,400,272,64
26,GREEN,14.513571739196777,304,144,368,208,336,176,64
26,BLUE,65.5724105834961,304,128,368,192,336,160,64
27,RED,112.1939926147461,240,160,304,224,272,192,64
27,RED,80.61542510986328,240,256,304,320,272,288,64
27,GREEN,24.566160202026367,368,240,432,304,400,272,64
27,GREEN,15.719039916992188,304,144,368,208,336,176,64
27,BLUE,65.92401885986328,304,128,368,192,336,160,64
28,RED,111.49516296386719,240,160,304,224,272,192,64
28,RED,81.0838394165039,240,256,304,320,272,288,64
28,GREEN,23.074949264526367,368,240,432,304,400,272,64
28,GREEN,16.060836791992188,304,144,368,208,336,176,64
28,BLUE,65.92489624023438,304,128,368,192,336,160,64
29,RED,112.351318359375,240,160,304,224,272,192,64
29,RED,81.01005554199219,240,256,304,320,272,288,64
29,GREEN,23.28866958618164,368,240,432,304,400,272,64
29,GREEN,16.950096130371094,304,144,368,208,336,176,64
29,BLUE,65.84652709960938,304,128,368,192,336,160,64
30,RED,111.8916015625,240,160,304,224,272,192,64
30,RED,80.7799301147461,240,256,304,320,272,288,64
30,GREEN,22.048973083496094,368,240,432,304,400,272,64
