0, 2032
2, 2170
5, 2293
7, 2416
10, 2555
12, 2678
15, 2795
17, 2907
20, 3030
23, 3137
25, 3244
28, 3348
30, 3441
33, 3528
35, 3610
38, 3692
40, 3774
43, 3831
46, 3889
48, 3945
51, 3986
53, 4027
56, 4052
58, 4077
61, 4080
63, 4080
66, 4080
69, 4078
71, 4053
74, 4028
76, 3987
79, 3946
81, 3892
84, 3833
86, 3776
89, 3694
92, 3612
94, 3530
97, 3445
99, 3350
102, 3247
104, 3140
107, 3033
110, 2911
112, 2797
115, 2681
117, 2558
120, 2419
122, 2297
125, 2174
127, 2036
130, 1912
133, 1789
135, 1666
138, 1528
140, 1405
143, 1287
145, 1175
148, 1052
150, 946
153, 839
156, 733
158, 641
161, 553
163, 472
166, 390
168, 308
171, 249
173, 192
176, 135
179, 94
181, 53
184, 28
186, 3
189, 0
191, 0
194, 0
197, 0
199, 25
202, 50
204, 91
207, 131
209, 185
212, 245
214, 302
217, 383
220, 465
222, 547
225, 631
227, 726
230, 829
232, 935
235, 1042
237, 1165
240, 1280
243, 1395
245, 1518
248, 1656
250, 1779
253, 1902
