frame,label,score,x1,y1,x2,y2,cx,cy,patch
22,GREEN,37.35858917236328,272,288,336,352,304,320,64
22,GREEN,30.787982940673828,272,176,336,240,304,208,64
22,BLUE,80.96054077148438,256,224,320,288,288,256,64
23,RED,119.2398910522461,336,256,400,320,368,288,64
23,RED,111.8414535522461,208,336,272,400,240,368,64
23,GREEN,36.86561965942383,272,288,336,352,304,320,64
23,GREEN,29.981538772583008,272,176,336,240,304,208,64
23,BLUE,81.67729187011719,256,224,320,288,288,256,64
24,RED,119.23139190673828,320,256,384,320,352,288,64
24,RED,112.0528793334961,208,336,272,400,240,368,64
24,GREEN,37.37782669067383,272,288,336,352,304,320,64
24,GREEN,30.762203216552734,272,176,336,240,304,208,64
24,BLUE,82.54833221435547,256,224,320,288,288,256,64
25,RED,118.789306640625,320,256,384,320,352,288,64
25,RED,111.73080444335938,208,336,272,400,240,368,64
25,GREEN,36.92152786254883,272,288,336,352,304,320,64
25,GREEN,30.093599319458008,272,176,336,240,304,208,64
25,BLUE,82.9586410522461,256,224,320,288,288,256,64
26,RED,118.60385131835938,320,256,384,320,352,288,64
26,RED,111.97392272949219,208,336,272,400,240,368,64
26,GREEN,37.510982513427734,272,288,336,352,304,320,64
26,GREEN,30.61762237548828,272,176,336,240,304,208,64
26,BLUE,83.79940795898438,256,224,320,288,288,256,64
27,RED,118.02348327636719,320,256,384,320,352,288,64
27,RED,111.87802124023438,208,336,272,400,240,368,64
27,GREEN,36.83588409423828,272,288,336,352,304,320,64
27,GREEN,29.869722366333008,272,176,336,240,304,208,64
27,BLUE,83.95878601074219,256,224,320,288,288,256,64
28,RED,117.619873046875,320,256,384,320,352,288,64
28,RED,112.18612670898438,208,336,272,400,240,368,64
28,GREEN,37.34315872192383,272,288,336,352,304,320,64
28,GREEN,30.300630569458008,272,176,336,240,304,208,64
28,BLUE,85.11532592773438,256,224,320,288,288,256,64
29,RED,115.5047378540039,320,256,384,320,352,288,64
29,RED,111.9547348022461,208,336,272,400,240,368,64
29,GREEN,37.146968841552734,272,288,336,352,304,320,64
29,GREEN,30.081050872802734,272,176,336,240,304,208,64
29,BLUE,85.85297393798828,256,224,320,288,288,256,64
30,RED,113.5379409790039,320,256,384,320,352,288,64
30,RED,112.33280944824219,208,336,272,400,240,368,64
30,GREEN,37.63173294067383,272,288,336,352,304,320,64
30,GREEN,30.6743106842041,272,176,336,240,304,208,64
30,BLUE,86.66620635986328,256,224,320,288,288,256,64
31,RED,111.82186889648438,208,336,272,400,240,368,64
31,RED,111.3180160522461,320,256,384,320,352,288,64
31,GREEN,37.14130401611328,272,288,336,352,304,320,64
31,GREEN,30.20985984802246,272,176,336,240,304,208,64
31,BLUE,86.2811508178711,256,224,320,288,288,256,64
32,RED,112.16220092773438,208,336,272,400,240,368,64
32,RED,110.1617202758789,320,256,384,320,352,288,64
32,GREEN,37.98842239379883,272,288,336,352,304,320,64
32,GREEN,31.24555206298828,272,176,336,240,304,208,64
32,BLUE,86.3570785522461,256,224,320,288,288,256,64
33,RED,111.57494354248047,208,336,272,400,240,368,64
33,RED,107.0113296508789,320,256,384,320,352,288,64
33,GREEN,37.53144073486328,272,288,336,352,304,320,64
33,GREEN,31.481733322143555,272,176,336,240,304,208,64
33,BLUE,85.30351257324219,256,224,320,288,288,256,64
34,RED,111.7743148803711,208,336,272,400,240,368,64
34,RED,104.38041687011719,320,256,384,320,352,288,64
34,GREEN,38.28915786743164,272,288,336,352,304,320,64
34,GREEN,31.58363914489746,272,176,336,240,304,208,64
34,BLUE,84.8993148803711,256,224,320,288,288,256,64
35,RED,111.54447937011719,208,336,272,400,240,368,64
35,RED,101.064697265625,320,256,384,320,352,288,64
35,GREEN,37.81752395629883,272,288,336,352,304,320,64
35,GREEN,30.945552825927734,272,176,336,240,304,208,64
35,BLUE,81.94330596923828,256,224,320,288,288,256,64
36,RED,111.84603881835938,208,336,272,400,240,368,64
36,RED,99.04658508300781,320,256,384,320,352,288,64
36,GREEN,39.112884521484375,272,288,336,352,304,320,64
36,GREEN,29.92157745361328,272,176,336,240,304,208,64
36,BLUE,80.54242706298828,256,224,320,288,288,256,64
37,RED,110.52450561523438,208,336,272,400,240,368,64
37,RED,94.4435043334961,336,256,400,320,368,288,64
37,GREEN,38.09564971923828,272,288,336,352,304,320,64
37,GREEN,27.60341453552246,272,176,336,240,304,208,64
37,BLUE,78.6898422241211,256,224,320,288,288,256,64
